COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,COUNTSTATIONFACILITY,sort
P,1349,765,528,458,405,707,2355,5807,7030,6566,5735,5252,5794,5687,6058,6518,7301,7466,6901,5156,5462,4241,3700,2475,1 ,1
S,1074,611,377,338,324,690,2436,6770,8328,7674,6607,6036,6462,6207,6293,6710,6721,6337,6712,6112,4796,3710,3313,2325,1 ,2
C,2423,1376,905,796,729,1397,4791,12577,15358,14240,12342,11288,12256,11894,12351,13228,14022,13803,13613,11268,10258,7951,7013,4800,1 ,3
